"Année","Canton (-) / District (>>) / Commune (......)","Durée du mariage","Nationalité (catégorie) partenaire 1","Nationalité (catégorie) partenaire 2 - total","Suisse","Étranger"
"1988","Suisse","10-14 ans","Suisse",1635,1635,0
"1988","Suisse","10-14 ans","Étranger",404,235,169
"1988","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1934,1759,175
"1988","Suisse","15-19 ans","Suisse",1573,1573,0
"1988","Suisse","15-19 ans","Étranger",361,186,175
"1988","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2789,2505,284
"1988","Suisse","20 ans ou plus","Suisse",2321,2321,0
"1988","Suisse","20 ans ou plus","Étranger",468,184,284
"1989","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",12721,11490,1231
"1989","Suisse","Durée du mariage - total","Suisse",9755,9755,0
"1989","Suisse","Durée du mariage - total","Étranger",2966,1735,1231
"1989","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2918,2614,304
"1989","Suisse","0-4 ans","Suisse",2062,2062,0
"1989","Suisse","0-4 ans","Étranger",856,552,304
"1989","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3264,2973,291
"1989","Suisse","5-9 ans","Suisse",2384,2384,0
"1989","Suisse","5-9 ans","Étranger",880,589,291
"1989","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2019,1844,175
"1989","Suisse","10-14 ans","Suisse",1605,1605,0
"1989","Suisse","10-14 ans","Étranger",414,239,175
"1989","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1726,1560,166
"1989","Suisse","15-19 ans","Suisse",1383,1383,0
"1989","Suisse","15-19 ans","Étranger",343,177,166
"1989","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2794,2499,295
"1989","Suisse","20 ans ou plus","Suisse",2321,2321,0
"1989","Suisse","20 ans ou plus","Étranger",473,178,295
"1990","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",13184,11835,1349
"1990","Suisse","Durée du mariage - total","Suisse",9955,9955,0
"1990","Suisse","Durée du mariage - total","Étranger",3229,1880,1349
"1990","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",3128,2809,319
"1990","Suisse","0-4 ans","Suisse",2225,2225,0
"1990","Suisse","0-4 ans","Étranger",903,584,319
"1990","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3473,3132,341
"1990","Suisse","5-9 ans","Suisse",2446,2446,0
"1990","Suisse","5-9 ans","Étranger",1027,686,341
"1990","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2051,1861,190
"1990","Suisse","10-14 ans","Suisse",1605,1605,0
"1990","Suisse","10-14 ans","Étranger",446,256,190
"1990","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1679,1497,182
"1990","Suisse","15-19 ans","Suisse",1326,1326,0
"1990","Suisse","15-19 ans","Étranger",353,171,182
"1990","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2853,2536,317
"1990","Suisse","20 ans ou plus","Suisse",2353,2353,0
"1990","Suisse","20 ans ou plus","Étranger",500,183,317
"1991","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",13628,12209,1419
"1991","Suisse","Durée du mariage - total","Suisse",10258,10258,0
